,ship-service-level,Category,Amount
13503,Expedited,Shirt,399.0
13504,Expedited,T-shirt,612.0
13505,Standard,T-shirt,881.0
13506,Expedited,Shirt,568.0
13507,Expedited,T-shirt,
13508,Standard,T-shirt,825.0
13509,Standard,T-shirt,916.0
13510,Standard,Blazzer,413.0
13511,Expedited,Shirt,471.0
13512,Standard,Blazzer,842.86
13513,Expedited,T-shirt,788.0
13514,Expedited,T-shirt,788.0
13515,Expedited,T-shirt,1149.0
13516,Standard,Trousers,463.0
13517,Expedited,Trousers,518.0
13518,Expedited,Shirt,352.0
13519,Standard,Shirt,517.0
13520,Expedited,T-shirt,680.0
13521,Standard,Blazzer,885.0
13522,Expedited,T-shirt,1112.0
13523,Standard,T-shirt,626.0
13524,Expedited,Blazzer,791.0
13525,Expedited,Blazzer,744.0
13526,Expedited,Shirt,499.0
13527,Expedited,T-shirt,759.0
13528,Expedited,T-shirt,1299.0
13529,Expedited,Shirt,399.0
13530,Standard,Shirt,696.0
13531,Expedited,Blazzer,744.0
13532,Standard,Blazzer,0.0
13533,Expedited,T-shirt,648.0
13534,Expedited,Trousers,574.0
13535,Expedited,T-shirt,680.0
13536,Expedited,T-shirt,995.0
13537,Expedited,T-shirt,612.0
13538,Standard,Wallet,460.0
13539,Standard,Shirt,399.0
13540,Standard,Shirt,521.0
13541,Standard,Shirt,458.0
13542,Standard,Shirt,499.0
13543,Expedited,T-shirt,680.0
13544,Expedited,Shirt,487.0
13545,Expedited,Shirt,458.0
13546,Standard,Shirt,318.0
13547,Expedited,T-shirt,635.0
13548,Expedited,Shirt,517.0
13549,Standard,Shirt,495.0
13550,Expedited,Shirt,375.0
13551,Standard,Shirt,318.0
13552,Standard,Shirt,318.0
13553,Standard,Shirt,376.0
13554,Standard,Shirt,499.0
13555,Expedited,T-shirt,1140.0
13556,Expedited,T-shirt,824.0
13557,Expedited,T-shirt,
13558,Standard,T-shirt,
13559,Standard,Perfume,388.0
13560,Expedited,T-shirt,626.0
13561,Standard,T-shirt,1033.0
13562,Expedited,Blazzer,
13563,Expedited,T-shirt,635.0
13564,Standard,T-shirt,654.0
13565,Expedited,Shirt,487.0
13566,Expedited,T-shirt,801.0
13567,Expedited,T-shirt,715.0
13568,Expedited,Shirt,399.0
13569,Standard,Shirt,459.0
13570,Expedited,T-shirt,563.0
13571,Expedited,T-shirt,886.0
13572,Expedited,T-shirt,548.0
13573,Standard,Shirt,342.0
13574,Expedited,Shirt,399.0
13575,Expedited,T-shirt,969.0
13576,Expedited,Blazzer,744.0
13577,Expedited,T-shirt,790.0
13578,Standard,T-shirt,641.0
13579,Expedited,T-shirt,612.0
13580,Expedited,T-shirt,1112.0
13581,Standard,Shirt,0.0
13582,Expedited,Shirt,568.0
13583,Standard,T-shirt,999.0
13584,Expedited,T-shirt,597.0
13585,Standard,Shirt,316.0
13586,Expedited,Shirt,
13587,Expedited,T-shirt,1099.0
13588,Standard,Shirt,
13589,Expedited,Shirt,487.0
13590,Expedited,Shirt,429.0
13591,Standard,Shirt,329.0
13592,Standard,Blazzer,744.0
13593,Standard,T-shirt,1432.0
13594,Standard,Blazzer,885.0
13595,Standard,Blazzer,885.0
13596,Expedited,T-shirt,496.0
13597,Expedited,Blazzer,791.0
13598,Standard,Shirt,295.0
13599,Expedited,Socks,297.0
13600,Standard,T-shirt,1115.0
13601,Expedited,Shirt,499.0
13602,Expedited,Shirt,499.0
13603,Standard,Shirt,449.0
13604,Expedited,Trousers,487.0
13605,Standard,Trousers,433.0
13606,Standard,Shirt,316.0
13607,Standard,Shirt,475.0
13608,Standard,T-shirt,895.0
13609,Standard,T-shirt,969.0
13610,Expedited,Trousers,512.0
13611,Standard,Shirt,299.0
13612,Standard,T-shirt,1186.0
13613,Standard,T-shirt,725.0
13614,Expedited,Shirt,352.0
13615,Expedited,Shirt,399.0
13616,Expedited,Shirt,429.0
13617,Expedited,T-shirt,599.0
13618,Expedited,T-shirt,563.0
13619,Expedited,Shirt,399.0
13620,Expedited,T-shirt,1065.0
13621,Expedited,T-shirt,835.0
13622,Standard,Shirt,399.0
13623,Expedited,Trousers,625.0
13624,Expedited,Shirt,399.0
13625,Expedited,T-shirt,696.0
13626,Standard,T-shirt,1005.36
13627,Expedited,T-shirt,1173.0
13628,Expedited,Shirt,352.0
13629,Standard,T-shirt,1115.0
13630,Expedited,T-shirt,1112.0
13631,Expedited,T-shirt,818.0
13632,Expedited,T-shirt,1463.0
13633,Expedited,T-shirt,995.0
13634,Standard,T-shirt,654.0
13635,Expedited,Shirt,486.0
13636,Expedited,Shirt,357.0
13637,Standard,T-shirt,1149.0
13638,Expedited,T-shirt,1213.0
13639,Expedited,T-shirt,969.0
13640,Standard,T-shirt,968.0
13641,Expedited,Shirt,429.0
13642,Expedited,Shirt,399.0
13643,Standard,Shirt,399.0
13644,Expedited,T-shirt,968.0
13645,Standard,Trousers,599.0
13646,Expedited,Shirt,471.0
13647,Expedited,Shirt,376.0
13648,Expedited,T-shirt,1432.0
13649,Expedited,Shirt,364.0
13650,Expedited,Shirt,368.0
13651,Expedited,T-shirt,563.0
13652,Expedited,T-shirt,1133.0
13653,Standard,Shirt,495.0
13654,Standard,Trousers,359.0
13655,Expedited,Shirt,399.0
13656,Expedited,Shirt,399.0
13657,Expedited,T-shirt,824.0
13658,Expedited,Shirt,
13659,Standard,Shirt,459.0
13660,Expedited,T-shirt,597.0
13661,Expedited,Shirt,376.0
13662,Expedited,Shirt,376.0
13663,Expedited,Shirt,399.0
13664,Standard,T-shirt,737.0
13665,Expedited,Shirt,517.0
13666,Standard,T-shirt,1099.0
13667,Standard,Shirt,463.8
13668,Standard,Trousers,568.0
13669,Expedited,T-shirt,759.0
13670,Expedited,Shirt,399.0
13671,Expedited,Shirt,459.0
13672,Expedited,Shirt,352.0
13673,Standard,T-shirt,888.0
13674,Standard,Shirt,399.0
13675,Expedited,Shirt,435.0
13676,Expedited,Blazzer,744.0
13677,Standard,T-shirt,845.71
13678,Expedited,T-shirt,1112.0
13679,Standard,Trousers,469.0
13680,Expedited,T-shirt,824.0
13681,Expedited,Blazzer,496.0
13682,Expedited,T-shirt,626.0
13683,Expedited,T-shirt,899.0
13684,Expedited,T-shirt,635.0
13685,Expedited,T-shirt,788.0
13686,Standard,Shirt,419.0
13687,Standard,T-shirt,666.0
13688,Standard,Shirt,521.0
13689,Expedited,Shirt,406.0
13690,Expedited,Socks,518.0
13691,Expedited,Shirt,
13692,Expedited,Shirt,316.0
13693,Expedited,Shirt,499.0
13694,Expedited,T-shirt,1112.0
13695,Standard,T-shirt,551.0
13696,Standard,T-shirt,568.57
13697,Expedited,T-shirt,788.0
13698,Expedited,Shirt,487.0
13699,Standard,T-shirt,2198.0
13700,Expedited,Shirt,
13701,Standard,T-shirt,427.62
13702,Expedited,Shirt,474.0
13703,Expedited,T-shirt,
13704,Standard,Shirt,399.0
13705,Expedited,Shirt,
13706,Standard,Shirt,249.0
13707,Expedited,Trousers,574.0
13708,Expedited,Trousers,487.0
13709,Expedited,Trousers,540.0
13710,Expedited,Blazzer,885.0
13711,Standard,Shirt,
13712,Expedited,T-shirt,969.0
13713,Standard,T-shirt,
13714,Standard,Shirt,380.0
13715,Expedited,T-shirt,597.0
13716,Standard,T-shirt,1249.11
13717,Standard,Blazzer,
13718,Expedited,T-shirt,788.0
13719,Standard,Shirt,
13720,Standard,Shirt,
13721,Expedited,T-shirt,969.0
13722,Standard,T-shirt,
13723,Standard,T-shirt,
13724,Standard,Shirt,
13725,Standard,Blazzer,0.0
13726,Standard,Shirt,
13727,Expedited,Shirt,406.0
13728,Expedited,Shirt,435.0
13729,Expedited,Perfume,637.0
13730,Standard,T-shirt,
13731,Standard,T-shirt,
13732,Expedited,Shirt,259.0
13733,Standard,Socks,
13734,Standard,Shirt,
13735,Expedited,Shirt,383.0
13736,Expedited,T-shirt,788.0
13737,Expedited,Trousers,518.0
13738,Standard,Shirt,295.0
13739,Standard,T-shirt,654.0
13740,Standard,T-shirt,654.0
13741,Expedited,Shirt,471.0
13742,Expedited,T-shirt,1163.0
13743,Expedited,Blazzer,744.0
13744,Expedited,T-shirt,
13745,Standard,T-shirt,455.0
13746,Standard,Shirt,399.0
13747,Expedited,T-shirt,599.0
13748,Expedited,Shirt,458.0
13749,Standard,Shirt,521.0
13750,Expedited,T-shirt,788.0
13751,Standard,T-shirt,653.0
13752,Standard,Shirt,432.0
13753,Standard,Shirt,487.0
13754,Standard,Shirt,363.0
13755,Standard,T-shirt,575.0
13756,Expedited,T-shirt,597.0
13757,Expedited,T-shirt,597.0
13758,Standard,T-shirt,1338.0
13759,Expedited,T-shirt,648.0
13760,Standard,Blazzer,885.0
13761,Expedited,Shirt,521.0
13762,Expedited,T-shirt,939.0
13763,Expedited,T-shirt,563.0
13764,Expedited,T-shirt,1281.0
13765,Expedited,Shirt,
13766,Expedited,Shirt,517.0
13767,Standard,T-shirt,654.0
13768,Standard,Shirt,399.0
13769,Expedited,Shirt,349.0
13770,Standard,Shirt,475.0
13771,Standard,Shirt,475.0
13772,Expedited,Shirt,521.0
13773,Standard,T-shirt,568.57
13774,Standard,T-shirt,1249.11
13775,Expedited,T-shirt,597.0
13776,Expedited,T-shirt,1140.0
13777,Standard,Shirt,458.0
13778,Expedited,T-shirt,818.0
13779,Standard,Shirt,495.0
13780,Expedited,Shirt,486.0
13781,Expedited,Shirt,399.0
13782,Standard,T-shirt,1186.0
13783,Expedited,T-shirt,563.0
13784,Standard,Shirt,389.0
13785,Expedited,Shirt,352.0
13786,Standard,Shirt,363.0
13787,Standard,Blazzer,885.0
13788,Expedited,Shirt,
13789,Standard,Perfume,753.33
13790,Expedited,Shirt,518.0
13791,Standard,Shirt,380.0
13792,Expedited,Shirt,487.0
13793,Expedited,T-shirt,599.0
13794,Expedited,T-shirt,654.0
13795,Expedited,T-shirt,788.0
13796,Expedited,T-shirt,1065.0
13797,Standard,Blazzer,885.0
13798,Standard,Shirt,380.0
13799,Expedited,T-shirt,
13800,Expedited,T-shirt,1099.0
13801,Standard,T-shirt,1249.11
13802,Standard,T-shirt,631.0
13803,Expedited,Shirt,511.0
13804,Expedited,T-shirt,563.0
13805,Standard,T-shirt,543.81
13806,Expedited,T-shirt,788.0
13807,Standard,T-shirt,759.0
13808,Expedited,T-shirt,1163.0
13809,Expedited,Shirt,399.0
13810,Expedited,Shirt,518.0
13811,Standard,T-shirt,824.0
13812,Standard,T-shirt,0.0
13813,Expedited,T-shirt,597.0
13814,Standard,T-shirt,696.0
13815,Expedited,Shirt,375.0
13816,Expedited,Shirt,
13817,Standard,Shirt,0.0
13818,Expedited,T-shirt,657.0
13819,Expedited,T-shirt,737.0
13820,Expedited,T-shirt,
13821,Expedited,Shirt,458.0
13822,Standard,T-shirt,1115.0
13823,Expedited,Shirt,518.0
13824,Standard,T-shirt,696.0
13825,Expedited,Shirt,487.0
13826,Expedited,Shirt,471.0
13827,Expedited,Blazzer,791.0
13828,Expedited,Shirt,511.0
13829,Expedited,Shirt,458.0
13830,Standard,T-shirt,525.0
13831,Expedited,T-shirt,788.0
13832,Expedited,Shirt,352.0
13833,Expedited,Shirt,458.0
13834,Expedited,Shirt,471.0
13835,Standard,Shirt,362.0
13836,Standard,Shirt,318.0
13837,Expedited,T-shirt,759.0
13838,Expedited,T-shirt,759.0
13839,Standard,T-shirt,635.0
13840,Expedited,T-shirt,771.0
13841,Expedited,Blazzer,744.0
13842,Standard,Blazzer,
13843,Standard,Shirt,499.0
13844,Expedited,Shirt,399.0
13845,Expedited,T-shirt,788.0
13846,Expedited,T-shirt,759.0
13847,Expedited,T-shirt,790.0
13848,Standard,T-shirt,1695.0
13849,Standard,T-shirt,
13850,Expedited,Shirt,
13851,Expedited,Shirt,376.0
13852,Expedited,Shirt,399.0
13853,Standard,Wallet,493.0
13854,Standard,Shirt,399.0
13855,Expedited,Shirt,
13856,Expedited,T-shirt,1213.0
13857,Expedited,Wallet,419.0
13858,Standard,T-shirt,567.0
13859,Expedited,T-shirt,
13860,Standard,Shirt,0.0
13861,Expedited,Wallet,249.0
13862,Expedited,Wallet,259.0
13863,Expedited,Shirt,533.0
13864,Standard,Shirt,259.0
13865,Expedited,Shirt,
13866,Standard,Shirt,700.95
13867,Standard,T-shirt,845.71
13868,Standard,Shirt,349.0
13869,Expedited,T-shirt,790.0
13870,Standard,Shirt,471.43
13871,Expedited,T-shirt,788.0
13872,Standard,T-shirt,922.0
13873,Standard,Shirt,459.0
13874,Expedited,Shirt,459.0
13875,Expedited,T-shirt,824.0
13876,Expedited,T-shirt,629.0
13877,Expedited,T-shirt,969.0
13878,Expedited,T-shirt,824.0
13879,Expedited,T-shirt,1033.0
13880,Standard,Shirt,380.0
13881,Expedited,Shirt,376.0
13882,Expedited,T-shirt,597.0
13883,Standard,T-shirt,626.0
13884,Expedited,T-shirt,788.0
13885,Expedited,Blazzer,744.0
13886,Standard,Shirt,526.0
13887,Expedited,T-shirt,801.0
13888,Expedited,T-shirt,597.0
13889,Expedited,T-shirt,824.0
13890,Standard,Blazzer,690.0
13891,Standard,T-shirt,597.0
13892,Standard,T-shirt,0.0
13893,Expedited,Shirt,499.0
13894,Standard,Shirt,380.0
13895,Expedited,T-shirt,
13896,Expedited,Shirt,635.0
13897,Standard,T-shirt,
13898,Expedited,T-shirt,820.0
13899,Expedited,T-shirt,788.0
13900,Expedited,Shirt,517.0
13901,Standard,T-shirt,
13902,Standard,Trousers,487.0
13903,Expedited,Shirt,458.0
13904,Expedited,Shirt,549.0
13905,Expedited,Shirt,259.0
13906,Standard,Shirt,291.0
13907,Expedited,T-shirt,1388.0
13908,Expedited,Blazzer,413.0
13909,Standard,Blazzer,744.0
13910,Expedited,Shirt,
13911,Standard,Blazzer,885.0
13912,Expedited,T-shirt,
13913,Standard,Shirt,459.0
13914,Expedited,Shirt,638.0
13915,Expedited,T-shirt,666.0
13916,Expedited,T-shirt,1099.0
13917,Standard,Shirt,316.0
13918,Standard,Shirt,329.0
13919,Standard,T-shirt,715.0
13920,Standard,Shirt,459.0
13921,Standard,Shirt,295.0
13922,Standard,T-shirt,597.0
13923,Expedited,T-shirt,1112.0
13924,Expedited,T-shirt,1221.0
13925,Expedited,Shirt,353.0
13926,Expedited,Shirt,429.0
13927,Standard,T-shirt,692.0
13928,Standard,T-shirt,660.0
13929,Expedited,Shirt,974.0
13930,Expedited,T-shirt,788.0
13931,Expedited,T-shirt,563.0
13932,Standard,T-shirt,759.0
13933,Expedited,T-shirt,
13934,Standard,Shirt,487.0
13935,Standard,T-shirt,654.0
13936,Expedited,Shirt,375.0
13937,Expedited,T-shirt,788.0
13938,Standard,T-shirt,0.0
13939,Expedited,T-shirt,626.0
13940,Expedited,Shirt,363.0
13941,Standard,T-shirt,654.0
13942,Standard,T-shirt,1126.0
13943,Expedited,Blazzer,665.0
13944,Expedited,Shirt,685.0
13945,Expedited,Shirt,517.0
13946,Expedited,T-shirt,1112.0
13947,Expedited,T-shirt,
13948,Expedited,T-shirt,790.0
13949,Standard,T-shirt,699.0
13950,Expedited,T-shirt,
13951,Standard,T-shirt,654.0
13952,Expedited,Shirt,666.0
13953,Expedited,T-shirt,653.0
13954,Standard,T-shirt,684.0
13955,Standard,Shirt,399.0
13956,Standard,Shirt,318.0
13957,Expedited,T-shirt,790.0
13958,Expedited,T-shirt,1186.0
13959,Standard,T-shirt,597.0
13960,Expedited,T-shirt,759.0
13961,Expedited,Shirt,599.0
13962,Expedited,T-shirt,1112.0
13963,Standard,Blazzer,690.0
13964,Expedited,T-shirt,1115.0
13965,Expedited,Shirt,471.0
13966,Expedited,T-shirt,788.0
13967,Expedited,Trousers,563.0
13968,Standard,Shirt,399.0
13969,Expedited,Blazzer,690.0
13970,Expedited,Blazzer,744.0
13971,Standard,Shirt,499.0
13972,Expedited,Blazzer,744.0
13973,Expedited,Trousers,518.0
13974,Expedited,Shirt,484.0
13975,Expedited,Shirt,475.0
13976,Standard,Shirt,302.86
13977,Standard,Shirt,344.76
13978,Standard,Shirt,318.0
13979,Standard,T-shirt,824.0
13980,Expedited,Trousers,751.0
13981,Standard,T-shirt,631.0
13982,Standard,Shirt,487.0
13983,Expedited,Shirt,399.0
13984,Expedited,Shirt,399.0
13985,Expedited,T-shirt,788.0
13986,Expedited,T-shirt,788.0
13987,Standard,T-shirt,701.9
13988,Standard,Shirt,376.0
13989,Standard,T-shirt,1194.64
13990,Expedited,Shirt,562.0
13991,Standard,Trousers,574.0
13992,Expedited,Shirt,499.0
13993,Standard,Wallet,383.0
13994,Expedited,Shirt,458.0
13995,Standard,T-shirt,666.0
13996,Expedited,T-shirt,626.0
13997,Standard,T-shirt,654.0
13998,Expedited,T-shirt,969.0
13999,Expedited,Shirt,486.0
14000,Standard,T-shirt,549.0
14001,Expedited,T-shirt,626.0
14002,Standard,Shirt,399.0
14003,Expedited,Shirt,399.0
14004,Expedited,Blazzer,744.0
14005,Expedited,Blazzer,690.0
14006,Expedited,T-shirt,597.0
14007,Expedited,Blazzer,625.0
14008,Standard,Shirt,599.0
14009,Standard,Shirt,437.14
14010,Expedited,T-shirt,583.0
14011,Expedited,T-shirt,563.0
14012,Expedited,Shirt,376.0
14013,Expedited,T-shirt,659.0
14014,Expedited,Shirt,399.0
14015,Standard,Shirt,362.0
14016,Standard,T-shirt,725.0
14017,Expedited,Blazzer,791.0
14018,Expedited,Socks,284.0
14019,Expedited,Shirt,352.0
14020,Expedited,Blazzer,744.0
14021,Expedited,T-shirt,547.0
14022,Expedited,Blazzer,699.0
14023,Expedited,Trousers,487.0
14024,Expedited,Trousers,599.0
14025,Expedited,Trousers,568.0
14026,Expedited,Shoes,899.0
14027,Expedited,Blazzer,744.0
14028,Expedited,Shirt,526.0
14029,Expedited,Shirt,357.0
14030,Expedited,T-shirt,1112.0
14031,Expedited,Shirt,487.0
14032,Expedited,Shirt,499.0
14033,Expedited,Shirt,499.0
14034,Expedited,T-shirt,788.0
14035,Standard,T-shirt,0.0
14036,Standard,Shirt,259.0
14037,Expedited,Shirt,376.0
14038,Expedited,T-shirt,
14039,Expedited,T-shirt,1112.0
14040,Expedited,Shirt,666.0
14041,Standard,Shirt,380.0
14042,Expedited,T-shirt,788.0
14043,Standard,T-shirt,751.0
14044,Expedited,T-shirt,922.0
14045,Expedited,Shirt,442.0
14046,Expedited,T-shirt,612.0
14047,Expedited,Shirt,666.0
14048,Standard,T-shirt,597.0
14049,Expedited,T-shirt,737.0
14050,Standard,Shirt,463.81
14051,Expedited,Shirt,399.0
14052,Expedited,Trousers,432.0
14053,Standard,Shirt,399.0
14054,Expedited,Blazzer,721.0
14055,Standard,T-shirt,1099.0
14056,Standard,T-shirt,852.0
14057,Standard,T-shirt,1149.0
14058,Expedited,T-shirt,818.0
14059,Standard,T-shirt,0.0
14060,Standard,Shirt,549.0
14061,Expedited,Shirt,549.0
14062,Standard,Shirt,399.0
14063,Standard,Trousers,0.0
14064,Standard,Shirt,0.0
14065,Standard,T-shirt,622.86
14066,Standard,Shirt,
14067,Expedited,Shirt,666.0
14068,Standard,Shirt,549.0
14069,Expedited,T-shirt,696.0
14070,Standard,T-shirt,519.05
14071,Standard,T-shirt,1058.93
14072,Expedited,Shirt,599.0
14073,Expedited,Shirt,635.0
14074,Standard,Shirt,487.0
14075,Expedited,T-shirt,922.0
14076,Expedited,Shirt,399.0
14077,Expedited,Shirt,299.0
14078,Expedited,Shirt,
14079,Standard,Shirt,
14080,Expedited,Shirt,486.0
14081,Expedited,Blazzer,807.0
14082,Expedited,Blazzer,807.0
14083,Expedited,Shirt,376.0
14084,Expedited,T-shirt,751.0
14085,Standard,Shirt,522.86
14086,Expedited,T-shirt,635.0
14087,Expedited,T-shirt,597.0
14088,Standard,T-shirt,654.0
14089,Expedited,Shirt,549.0
14090,Expedited,Blazzer,658.0
14091,Expedited,Trousers,329.0
14092,Standard,T-shirt,597.0
14093,Expedited,Shirt,
14094,Standard,T-shirt,563.0
14095,Expedited,T-shirt,599.0
14096,Standard,Shirt,517.0
14097,Expedited,Shirt,406.0
14098,Standard,Shirt,
14099,Expedited,Shirt,442.0
14100,Expedited,Trousers,432.0
14101,Standard,Shirt,299.0
14102,Standard,T-shirt,1186.0
14103,Expedited,T-shirt,788.0
14104,Expedited,Blazzer,744.0
14105,Standard,Shirt,634.29
14106,Expedited,T-shirt,788.0
14107,Expedited,Shirt,517.0
14108,Expedited,Trousers,625.0
14109,Standard,Shirt,316.0
14110,Standard,Shirt,300.95
14111,Expedited,Blazzer,859.0
14112,Standard,Shirt,459.0
14113,Standard,Shirt,477.0
14114,Standard,T-shirt,499.0
14115,Standard,T-shirt,771.0
14116,Standard,T-shirt,1033.0
14117,Expedited,Shirt,399.0
14118,Expedited,Shirt,399.0
14119,Expedited,Blazzer,744.0
14120,Standard,Shirt,499.0
14121,Expedited,Shirt,442.0
14122,Expedited,Blazzer,744.0
14123,Standard,T-shirt,1115.0
14124,Expedited,T-shirt,1238.0
14125,Expedited,T-shirt,1112.0
14126,Expedited,Trousers,399.0
14127,Expedited,T-shirt,1112.0
14128,Expedited,T-shirt,922.0
14129,Expedited,Blazzer,690.0
14130,Expedited,Shirt,352.0
14131,Standard,T-shirt,613.0
14132,Expedited,T-shirt,801.0
14133,Expedited,Shirt,459.0
14134,Expedited,Blazzer,744.0
14135,Standard,T-shirt,1149.0
14136,Standard,Shirt,562.0
14137,Expedited,Shirt,442.0
14138,Expedited,Shirt,870.0
14139,Standard,T-shirt,647.62
14140,Expedited,Blazzer,413.0
14141,Expedited,T-shirt,1186.0
14142,Expedited,T-shirt,888.0
14143,Standard,Shirt,459.0
14144,Expedited,T-shirt,
14145,Standard,T-shirt,1281.0
14146,Expedited,T-shirt,916.0
14147,Expedited,T-shirt,790.0
14148,Standard,Trousers,518.0
14149,Expedited,Shirt,442.0
14150,Expedited,T-shirt,824.0
14151,Expedited,T-shirt,968.0
14152,Expedited,T-shirt,1133.0
14153,Standard,Shirt,376.0
14154,Expedited,T-shirt,788.0
14155,Expedited,Trousers,493.0
14156,Expedited,T-shirt,599.0
14157,Expedited,T-shirt,801.0
14158,Expedited,Shirt,568.0
14159,Standard,Shirt,399.0
14160,Standard,T-shirt,722.86
14161,Standard,Shirt,303.81
14162,Standard,T-shirt,1115.0
14163,Expedited,T-shirt,1133.0
14164,Expedited,Shirt,399.0
14165,Expedited,T-shirt,967.0
14166,Expedited,Shirt,295.0
14167,Expedited,T-shirt,1112.0
14168,Expedited,Shirt,406.0
14169,Standard,Shirt,399.0
14170,Standard,T-shirt,599.0
14171,Standard,Blazzer,899.0
14172,Expedited,Shirt,311.0
14173,Expedited,Trousers,563.0
14174,Standard,T-shirt,571.0
14175,Expedited,Shirt,442.0
14176,Standard,Shirt,0.0
14177,Expedited,Trousers,518.0
14178,Expedited,Shirt,329.0
14179,Expedited,T-shirt,1099.0
14180,Expedited,T-shirt,597.0
14181,Standard,Shirt,399.0
14182,Standard,Shirt,568.0
14183,Expedited,T-shirt,1115.0
14184,Standard,T-shirt,597.0
14185,Expedited,Trousers,625.0
14186,Expedited,T-shirt,599.0
14187,Standard,T-shirt,662.86
14188,Expedited,Blazzer,807.0
14189,Expedited,T-shirt,563.0
14190,Expedited,T-shirt,547.0
14191,Standard,Shirt,380.0
14192,Standard,Shirt,540.95
14193,Standard,Shirt,249.0
14194,Expedited,Shirt,291.0
14195,Expedited,Shirt,517.0
14196,Expedited,Shirt,352.0
14197,Standard,Shirt,432.0
14198,Standard,T-shirt,788.0
14199,Expedited,Blazzer,744.0
14200,Expedited,Trousers,599.0
14201,Standard,T-shirt,474.0
14202,Expedited,Trousers,339.0
14203,Expedited,Shirt,399.0
14204,Expedited,Shirt,399.0
14205,Expedited,Shirt,375.0
14206,Expedited,Shirt,459.0
14207,Expedited,Shirt,442.0
14208,Expedited,Shirt,471.0
14209,Standard,Shirt,495.0
14210,Expedited,Shirt,311.0
14211,Standard,Shirt,380.0
14212,Expedited,T-shirt,818.0
14213,Standard,Shirt,357.0
14214,Standard,Shirt,399.0
14215,Expedited,Shirt,442.0
14216,Standard,T-shirt,545.0
14217,Standard,T-shirt,631.0
14218,Expedited,T-shirt,499.0
14219,Expedited,T-shirt,967.0
14220,Expedited,Shirt,458.0
14221,Expedited,Shirt,471.0
14222,Expedited,T-shirt,626.0
14223,Standard,T-shirt,654.0
14224,Standard,Shirt,517.0
14225,Expedited,T-shirt,653.0
14226,Standard,Shirt,295.0
14227,Standard,T-shirt,0.0
14228,Expedited,T-shirt,635.0
14229,Expedited,Shirt,
14230,Expedited,Trousers,329.0
14231,Standard,Shirt,458.0
14232,Expedited,Shirt,
14233,Expedited,Blazzer,665.0
14234,Expedited,T-shirt,916.0
14235,Expedited,T-shirt,939.0
14236,Expedited,Trousers,518.0
14237,Expedited,Trousers,487.0
14238,Standard,Shirt,534.0
14239,Expedited,T-shirt,
14240,Expedited,T-shirt,759.0
14241,Expedited,T-shirt,626.0
14242,Expedited,Shirt,471.0
14243,Standard,Shirt,551.43
14244,Standard,T-shirt,894.29
14245,Standard,Blazzer,859.0
14246,Expedited,Shirt,568.0
14247,Expedited,Shirt,471.0
14248,Standard,T-shirt,666.0
14249,Expedited,T-shirt,626.0
14250,Expedited,Shirt,399.0
14251,Expedited,T-shirt,939.0
14252,Expedited,T-shirt,626.0
14253,Standard,T-shirt,888.0
14254,Standard,Shirt,495.0
14255,Expedited,T-shirt,788.0
14256,Standard,Shirt,399.0
14257,Standard,Shirt,399.0
14258,Standard,Shirt,399.0
14259,Standard,Shirt,442.0
14260,Standard,Blazzer,899.0
14261,Expedited,Shirt,329.0
14262,Expedited,T-shirt,759.0
14263,Standard,Blazzer,899.0
14264,Standard,T-shirt,591.0
14265,Expedited,Shirt,352.0
14266,Standard,Shirt,432.0
14267,Expedited,T-shirt,788.0
14268,Standard,Shirt,534.0
14269,Standard,T-shirt,1593.0
14270,Expedited,Shirt,399.0
14271,Expedited,Shirt,429.0
14272,Standard,Blazzer,690.0
14273,Standard,Shirt,380.0
14274,Standard,Trousers,540.0
14275,Standard,Shirt,376.0
14276,Expedited,T-shirt,1112.0
14277,Expedited,Trousers,540.0
14278,Expedited,Shirt,471.0
14279,Expedited,T-shirt,824.0
14280,Standard,Blazzer,690.0
14281,Expedited,Shirt,352.0
14282,Expedited,Shirt,442.0
14283,Expedited,Shirt,399.0
14284,Expedited,Blazzer,791.0
14285,Standard,T-shirt,582.0
14286,Standard,Shirt,419.0
14287,Expedited,Trousers,599.0
14288,Standard,Shirt,
14289,Standard,Shirt,495.0
14290,Expedited,Blazzer,699.0
14291,Standard,T-shirt,916.0
14292,Expedited,T-shirt,1133.0
14293,Standard,Shirt,499.0
14294,Standard,T-shirt,399.0
14295,Expedited,Shirt,474.0
14296,Expedited,Trousers,574.0
14297,Expedited,T-shirt,635.0
14298,Standard,Shirt,568.0
14299,Expedited,T-shirt,
14300,Expedited,Shirt,517.0
14301,Expedited,Shirt,517.0
14302,Standard,T-shirt,1126.0
14303,Expedited,T-shirt,1173.0
14304,Expedited,T-shirt,788.0
14305,Expedited,Trousers,297.0
14306,Standard,Shirt,442.0
14307,Standard,T-shirt,999.0
14308,Expedited,Shirt,399.0
14309,Standard,Shirt,399.0
14310,Expedited,Shirt,471.0
14311,Expedited,T-shirt,599.0
14312,Expedited,Shirt,435.0
14313,Expedited,Shirt,471.0
14314,Expedited,Shirt,517.0
14315,Expedited,Trousers,625.0
14316,Expedited,Trousers,574.0
14317,Expedited,T-shirt,1146.0
14318,Standard,T-shirt,1299.0
14319,Expedited,T-shirt,1199.0
14320,Expedited,T-shirt,1099.0
14321,Expedited,T-shirt,599.0
14322,Expedited,T-shirt,1186.0
14323,Expedited,T-shirt,737.0
14324,Expedited,T-shirt,653.0
